1100.65	1100.65	187-伊今仔日咧艱苦
1104.09	1104.09	188-干焦
1106.4	1106.4	188-干焦伊無來
1109.05	1109.05	188-干焦三个
1111.49	1111.49	189-工
1113.37	1113.37	189-厚工
1115.14	1115.14	189-三工
1117.11	1117.11	190-港都
1119.47	1119.47	190-港都夜雨
1122.14	1122.14	191-仝
1123.97	1123.97	191-仝款
1125.49	1125.49	191-相仝
1127.57	1127.57	192-敆
1129.06	1129.06	192-敆做伙
1130.9	1130.9	192-敆藥仔
1132.74	1132.74	193-狡怪
1134.63	1134.63	193-這个囡仔較狡怪
1137.69	1137.69	194-到
1139.16	1139.16	194-到位
1141.06	1141.06	194-到時
1143.53	1143.53	195-加
1145.35	1145.35	195-加減
1147.09	1147.09	195-加話
1148.96	1148.96	196-家後
1151.0	1151.0	196-好家後
1153.55	1153.55	197-家婆
1155.59	1155.59	197-真家婆
1158.11	1158.11	198-家私
1159.9	1159.9	198-家私頭仔
1162.1	1162.1	199-膎
1163.73	1163.73	199-鹹膎
1165.73	1165.73	199-蚵仔膎
1167.47	1167.47	199-珠螺膎
1169.68	1169.68	200-羹
1171.38	1171.38	200-牽羹
1173.41	1173.41	200-肉羹
1175.37	1175.37	201-跤
1177.2	1177.2	201-跤手
1178.96	1178.96	201-下跤
1180.77	1180.77	202-咳啾
1182.49	1182.49	202-拍咳啾
1184.47	1184.47	203-尻川
1186.58	1186.58	203-拍尻川
1188.68	1188.68	203-尻川後
1190.45	1190.45	203-尻川斗
1192.55	1192.55	204-尻脊
1194.18	1194.18	204-尻脊骿
1196.05	1196.05	204-毋通尻脊後講人閒仔話
1200.46	1200.46	205-跤頭趺
1202.58	1202.58	205-跤頭趺鑢著
1205.04	1205.04	206-敲
1206.74	1206.74	206-敲電話
1208.95	1208.95	206-敲油
1210.91	1210.91	207-較
1212.46	1212.46	207-較濟
1214.31	1214.31	207-閣較好
1216.1	1216.1	207-較講都毋聽
1219.02	1219.02	208-較停(仔)
1222.98	1222.98	208-較停咧
1225.21	1225.21	208-較停仔著知
1227.55	1227.55	209-卡
1229.04	1229.04	209-卡牢咧
1231.01	1231.01	210-坎
1232.76	1232.76	210-坎仔
1234.4	1234.4	210-坎站
1236.3	1236.3	210-一坎店
1238.33	1238.33	211-崁
1239.55	1239.55	211-崁蓋
1241.72	1241.72	211-暗崁
1243.4	1243.4	212-崁
1245.1	1245.1	212-山崁
1246.92	1246.92	212-崁跤
1249.09	1249.09	212-崁頂
1250.9	1250.9	213-空
1252.38	1252.38	213-空厝
1253.85	1253.85	213-破空
1255.85	1255.85	214-空
1257.3	1257.3	214-誠好空
1259.4	1259.4	214-歹空
1261.14	1261.14	214-好空鬥相報
1263.97	1263.97	215-磕
1265.51	1265.51	215-磕袂著
1267.21	1267.21	215-袂磕得
1269.13	1269.13	215-磕頭
1270.71	1270.71	215-磕著
1272.2	1272.2	216-薅
1274.2	1274.2	216-薅草
1276.33	1276.33	216-薅頭鬃
1278.5	1278.5	217-剾
1280.27	1280.27	217-剾皮
1282.03	1282.03	217-剾喙鬚
1284.11	1284.11	217-剾風
1285.63	1285.63	217-剾洗
1287.25	1287.25	218-齧
1288.49	1288.49	218-齧肉骨
1290.63	1290.63	218-齧甘蔗
1292.46	1292.46	219-敧
1294.43	1294.43	219-敧一爿
1296.41	1296.41	219-坦敧
1298.52	1298.52	220-齒戳(仔)
1302.11	1302.11	220-用齒戳(仔)戳喙齒
1308.84	1308.84	221-徛
1310.42	1310.42	221-徛予正
1312.64	1312.64	221-徛家
1314.39	1314.39	222-徛鵝
1316.44	1316.44	222-來去動物園看徛鵝
1320.5	1320.5	222-徛鵝真古錐
1324.14	1324.14	223-掔
1325.95	1325.95	223-掔石頭
1328.04	1328.04	223-烏白掔
1330.03	1330.03	224-勥
1331.61	1331.61	224-真勥
1333.52	1333.52	224-勥跤
1335.39	1335.39	225-曲
1337.33	1337.33	225-曲痀
1339.33	1339.33	225-曲跤
1341.17	1341.17	225-彎彎曲曲
1343.94	1343.94	226-巧
1345.7	1345.7	226-人真巧
1347.88	1347.88	226-奸巧
1349.6	1349.6	227-克虧
1351.72	1351.72	227-伊予人騙去,真克虧。
1355.47	1355.47	228-拑
1357.43	1357.43	228-予囡仔拑牢牢
1360.73	1360.73	229-抾
1361.89	1361.89	229-抾起來
1363.7	1363.7	229-抾拾
1365.5	1365.5	229-抾字紙
1367.55	1367.55	229-抾恨
1369.5	1369.5	230-扱
1370.57	1370.57	230-扱牢牢
1372.83	1372.83	230-無拑無扱
1375.27	1375.27	231-杙
1376.44	1376.44	231-杙仔
1378.25	1378.25	231-大里杙(地名)
1380.17	1380.17	232-搝
1381.47	1381.47	232-搝大索
1383.89	1383.89	232-搝後跤
1385.93	1385.93	233-虯
