"編號",建議用字,音讀,又音,對應華語,用例,異用字
499,今,tann,,現在、如今,"到今猶毋捌看過、今害矣",旦
500,兜,tau,,家、附近,阮兜、跤兜,
501,鬥,tàu,,拼合、湊,"鬥做伙、鬥陣、鬥跤手",湊
502,鬥相共,tàu-sann-kāng,tàu-sio-kāng,幫忙,"做伙鬥相共、朋友有困難著鬥相共","湊相共、搭相共"
503,沓,tau̍h,,"慢慢的、反覆","沓沓仔講、沓沓講",
504,貯,té,tué、teré,裝、盛,貯水、貯飯,
505,硩,teh,,壓、止,"硩年、硩重、紙硩、硩茶盤、硩嗽",矺
506,,thái-ko,,癩瘡、骯髒,,癩哥
507,刣,thâi,,"宰殺、割、刪","刣豬、刣頭、刣掉",
508,趁,thàn,,賺、趁,趁錢、趁早,
509,通,thang,,通過、可以,通光、毋通,
510,迵,thàng,,"穿過、穿透、貫串","迵過、規年迵天",
511,痛,thàng,,憐惜,"爸母對囝兒的疼痛",
512,窒,that,,塞,窒仔、窒車,
513,敨,tháu,,解開、抒發,"敨索仔、敨放、敨開、敨氣",㪗
514,透早,thàu-tsá,,一早、清晨,透早就出門,
515,頭,thâu,,頭、首先,頭殼、頭先,
516,頭路,thâu-lōo,,職業、工作,"食頭路、無頭路",投路
517,退,thè,thèr,退,"倒退、退火、退伍",
518,替換,thè-uānn,thuè-uānn,更換,相替換,
519,提,theh̍,"thueh̍/thereh̍/ther̍h/kheh̍/eh̍",拿,提錢、提物件,摕
520,褫,thí,,張開、展開,目睭褫袂開,
521,忝,thiám,,疲累、嚴重,"活欲忝死、予伊害甲真忝",悿
522,疼,thiànn,,痛、疼愛,"喙齒疼、疼惜、疼囝",
523,刁工,thiau-kang,tiau-kang,特地、故意,"刁工來看你、刁工講的",
524,斟,thîn,,"斟、倒(茶)",斟茶、斟酒,漛
525,伨,thīn,,"支持、使平均、婚配","相伨、伨頭、伨親",媵
526,褪,thǹg,thuìnn,蛻換、脫下,褪殼、褪衫,
527,討債,thó-tsè,,浪費,"討債囡仔、有夠討債",
528,捅,thóng,,"冒出、出頭、啄","捅頭、三十捅歲、雞仔捅米",
529,土,thóo,,"土地、土性、本地的","土地、土直、土產",
530,塗,thôo,,"泥土、地上、糟糕","塗沙、塗跤、塗塗塗",土
531,拖,thua,,拖延、勞碌,"代誌毋通拖、拖磨",
532,挩,thuah,,"來回拖拉、來回搓洗","挩門、挩窗、挩枋",
533,屜,thuah,,抽屜,屜仔、頂屜,
534,托,thuh,,承舉,托懸、托下頦,
535,黜,thuh,,"鏟(除)、揭露","黜鼎疕、黜沙、黜臭",
