92,譀,hàm,,荒誕不實、放大,譀古、譀鏡,泛、幻,[sound:minnan700-92-譀.mp3],[sound:minnan700-92-譀古.mp3],[sound:minnan700-92-譀鏡.mp3],,,,閩南語
93,陷眠,hām-bîn,,夢囈,伊咧陷眠,,[sound:minnan700-93-陷眠.mp3],[sound:minnan700-93-伊咧陷眠.mp3],,,,,閩南語
94,吼,háu,,哭、叫,愛吼、鳥仔咧吼,哮,[sound:minnan700-94-吼.mp3],[sound:minnan700-94-愛吼.mp3],[sound:minnan700-94-鳥仔咧吼.mp3],,,,閩南語
95,後生,hāu-senn,hāu-sinn,兒子,阮後生、生後生,,[sound:minnan700-95-後生.mp3],[sound:minnan700-95-阮後生.mp3],[sound:minnan700-95-生後生.mp3],,,,閩南語
96,彼,he,,那,彼是我的,,[sound:minnan700-96-彼.mp3],[sound:minnan700-96-彼是我的.mp3],,,,,閩南語
97,下,hē,,放,下鹽、下本錢,,[sound:minnan700-97-下.mp3],[sound:minnan700-97-下鹽.mp3],[sound:minnan700-97-下本錢.mp3],,,,閩南語
98,遐,hia,hiâ,那、那裡,佇遐,,[sound:minnan700-98-遐.mp3],[sound:minnan700-98-佇遐.mp3],,,,,閩南語
99,遐的,hia--ê,hua--ê,那些,遐的攏是我的,遐个,[sound:minnan700-99-遐的.mp3],[sound:minnan700-99-遐的攏是我的.mp3],,,,,閩南語
100,遐的,hia ê,,那裡的,遐的人,遐个,[sound:minnan700-100-遐的.mp3],[sound:minnan700-100-遐的人.mp3],,,,,閩南語
101,遐,hiah,,那麼,遐濟、遐慢,許、赫,[sound:minnan700-101-遐.mp3],[sound:minnan700-101-遐濟.mp3],[sound:minnan700-101-遐慢.mp3],,,,閩南語
102,遐爾,hiah-nī,,那麼,遐爾燒、遐爾遠,許呢、赫爾、遐呢,[sound:minnan700-102-遐爾.mp3],[sound:minnan700-102-遐爾燒.mp3],[sound:minnan700-102-遐爾遠.mp3],,,,閩南語
103,薟,hiam,,辣、嗆,薟椒仔、臭尿薟,馦,[sound:minnan700-103-薟.mp3],[sound:minnan700-103-薟椒仔.mp3],[sound:minnan700-103-臭尿薟.mp3],,,,閩南語
104,掀,hian,,掀、翻,掀開、掀報紙,,[sound:minnan700-104-掀.mp3],[sound:minnan700-104-掀開.mp3],[sound:minnan700-104-掀報紙.mp3],,,,閩南語
105,現出,hiàn-tshut,,呈現、現出,現出原形,,[sound:minnan700-105-現出.mp3],[sound:minnan700-105-現出原形.mp3],,,,,閩南語
106,現,hiān,,當下、清楚明白,現煮現食、看現現,,[sound:minnan700-106-現.mp3],[sound:minnan700-106-現煮現食.mp3],[sound:minnan700-106-看現現.mp3],,,,閩南語
107,現世,hiān-sì,,丟人現眼,足現世,,[sound:minnan700-107-現世.mp3],[sound:minnan700-107-足現世.mp3],,,,,閩南語
108,燃,hiânn,,燃燒,燃火、燃茶、燃滾水,烆,[sound:minnan700-108-燃.mp3],[sound:minnan700-108-燃火.mp3],[sound:minnan700-108-燃茶.mp3],[sound:minnan700-108-燃滾水.mp3],,,閩南語
109,㧒,hiat,,丟擲,㧒捔、烏白㧒,,[sound:minnan700-109-㧒.mp3],[sound:minnan700-109-㧒捔.mp3],[sound:minnan700-109-烏白㧒.mp3],,,,閩南語
110,囂俳,hiau-pai,hia-pai,囂張,囂俳無落魄的久、做人毋通傷囂俳,,[sound:minnan700-110-囂俳.mp3],[sound:minnan700-110-囂俳無落魄的久.mp3],[sound:minnan700-110-做人毋通傷囂俳.mp3],,,,閩南語
111,欣羨,him-siān,,羨慕,欣羨別人,歆羨,[sound:minnan700-111-欣羨.mp3],[sound:minnan700-111-欣羨別人.mp3],,,,,閩南語
112,形影,hîng-iánn,,身影,伊的形影,,[sound:minnan700-112-形影.mp3],[sound:minnan700-112-伊的形影.mp3],,,,,閩南語
113,歇,hioh,hennh、heh,休息,歇晝、歇熱、歇寒,,[sound:minnan700-113-歇.mp3],[sound:minnan700-113-歇晝.mp3],[sound:minnan700-113-歇熱.mp3],[sound:minnan700-113-歇寒.mp3],,,閩南語
114,雄雄,hiông-hiông,,突然、猛然、一時間,雄雄想無、雄雄走出來,,[sound:minnan700-114-雄雄.mp3],[sound:minnan700-114-雄雄想無.mp3],[sound:minnan700-114-雄雄走出來.mp3],,,,閩南語
115,翕,hip,,悶、悶熱,翕油飯、天氣真翕,熻,[sound:minnan700-115-翕.mp3],[sound:minnan700-115-翕油飯.mp3],[sound:minnan700-115-天氣真翕.mp3],,,,閩南語
116,翕,hip,,攝影,翕相,,[sound:minnan700-116-翕.mp3],[sound:minnan700-116-翕相.mp3],,,,,閩南語
117,彼,hit,,那,彼間厝、彼時,,[sound:minnan700-117-彼.mp3],[sound:minnan700-117-彼間厝.mp3],[sound:minnan700-117-彼時.mp3],,,,閩南語
